,Location,Time,ID,path
1220,"[33.028079999999996, 73.60638]",2014-11-09 00:30:41.000000,43686801,
1221,"[33.0281, 73.6064]",2014-11-09 00:30:41.000000,43686801,
1222,"[33.0281, 73.6064]",2014-11-09 00:30:41.000000,43686801,
1223,"[33.028079999999996, 73.60638]",2014-11-09 00:30:41.000000,43686801,
1224,"[33.0281, 73.6064]",2014-11-09 00:30:41.000000,43686801,
1225,"[33.028079999999996, 73.60638]",2014-11-09 00:30:41.000000,43686801,
1226,"[33.0281, 73.6064]",2014-11-04 14:27:31.000000,512042166,"[{'y1': 73.7201388, 'x2': 32.9240102, 'x1': 32.9241424, 'y2': 73.7196889}, {'y1': 73.7196889, 'x2': 32.9246172, 'x1': 32.9240102, 'y2': 73.7195412}, {'y1': 73.7195412, 'x2': 33.0272533, 'x1': 32.9246172, 'y2': 73.6026287}, {'y1': 73.6026287, 'x2': 33.0274885, 'x1': 33.0272533, 'y2': 73.60272309999999}, {'y1': 73.60272309999999, 'x2': 33.0263247, 'x1': 33.0274885, 'y2': 73.6066203}, {'y1': 73.6066203, 'x2': 33.0269349, 'x1': 33.0263247, 'y2': 73.6069249}, {'y1': 73.6069249, 'x2': 33.0271086, 'x1': 33.0269349, 'y2': 73.6065612}, {'y1': 73.6065612, 'x2': 33.0283035, 'x1': 33.0271086, 'y2': 73.60713249999999}, {'y1': 73.60713249999999, 'x2': 33.0285287, 'x1': 33.0283035, 'y2': 73.60651849999999}, {'y1': 73.60651849999999, 'x2': 33.0283299, 'x1': 33.0285287, 'y2': 73.6065331}]"
1227,"[33.028079999999996, 73.60638]",2014-11-04 14:27:31.000000,512042166,
1228,"[33.0281, 73.6064]",2014-11-04 14:27:31.000000,512042166,
1229,"[33.0281, 73.6064]",2014-11-04 14:27:31.000000,512042166,
1230,"[33.028079999999996, 73.60638]",2014-11-04 14:27:31.000000,512042166,
1231,"[33.0281, 73.6064]",2014-11-04 14:27:31.000000,512042166,
1232,"[33.028079999999996, 73.60638]",2014-11-04 14:27:31.000000,512042166,
1233,"[33.0281, 73.6064]",2014-11-04 14:27:31.000000,512042166,
1234,"[33.028079999999996, 73.60638]",2014-11-04 14:27:31.000000,512042166,
1235,"[33.0281, 73.6064]",2014-11-04 14:27:31.000000,512042166,
1236,"[33.0281, 73.6064]",2014-11-04 14:27:31.000000,512042166,
1237,"[33.028079999999996, 73.60638]",2014-11-04 14:27:31.000000,512042166,
1238,"[33.0281, 73.6064]",2014-11-04 14:27:31.000000,512042166,
1239,"[33.028079999999996, 73.60638]",2014-11-04 14:27:31.000000,512042166,
1240,"[32.9445, 73.7184]",2014-11-09 00:30:41.000000,43686801,"[{'y1': 73.6065331, 'x2': 33.0285287, 'x1': 33.0283299, 'y2': 73.60651849999999}, {'y1': 73.60651849999999, 'x2': 33.0283035, 'x1': 33.0285287, 'y2': 73.60713249999999}, {'y1': 73.60713249999999, 'x2': 33.0269349, 'x1': 33.0283035, 'y2': 73.6069249}, {'y1': 73.6069249, 'x2': 33.0263247, 'x1': 33.0269349, 'y2': 73.6066203}, {'y1': 73.6066203, 'x2': 33.024887, 'x1': 33.0263247, 'y2': 73.610883}, {'y1': 73.610883, 'x2': 32.9487755, 'x1': 33.024887, 'y2': 73.7124078}, {'y1': 73.7124078, 'x2': 32.9439225, 'x1': 32.9487755, 'y2': 73.71735939999999}, {'y1': 73.71735939999999, 'x2': 32.944353, 'x1': 32.9439225, 'y2': 73.71759519999999}, {'y1': 73.71759519999999, 'x2': 32.9446927, 'x1': 32.944353, 'y2': 73.71877909999999}]"
1241,"[32.944520000000004, 73.71837]",2014-11-09 00:30:41.000000,43686801,
1242,"[32.9445, 73.7184]",2014-11-09 00:30:41.000000,43686801,
1243,"[32.9445, 73.7184]",2014-11-09 00:30:41.000000,43686801,
1244,"[32.944520000000004, 73.71837]",2014-11-09 00:30:41.000000,43686801,
1245,"[32.944520000000004, 73.71837]",2014-11-09 00:30:41.000000,43686801,
1246,"[32.9445, 73.7184]",2014-11-09 00:30:41.000000,43686801,
1247,"[32.944520000000004, 73.71837]",2014-11-09 00:30:41.000000,43686801,
1248,"[32.9445, 73.7184]",2014-11-09 00:30:41.000000,43686801,
1249,"[32.9445, 73.7184]",2014-11-09 00:30:41.000000,43686801,
1250,"[32.944520000000004, 73.71837]",2014-11-09 00:30:41.000000,43686801,
1251,"[32.944520000000004, 73.71837]",2014-11-09 00:30:41.000000,43686801,
1252,"[32.9445, 73.7184]",2014-11-04 16:35:31.000000,66686089,"[{'y1': 73.7178138, 'x2': 32.9564547, 'x1': 32.9584365, 'y2': 73.7208718}, {'y1': 73.7208718, 'x2': 32.9498887, 'x1': 32.9564547, 'y2': 73.7191423}, {'y1': 73.7191423, 'x2': 32.9476043, 'x1': 32.9498887, 'y2': 73.7211616}, {'y1': 73.7211616, 'x2': 32.9451348, 'x1': 32.9476043, 'y2': 73.7194768}, {'y1': 73.7194768, 'x2': 32.9446927, 'x1': 32.9451348, 'y2': 73.71877909999999}]"
1253,"[32.944520000000004, 73.71837]",2014-11-04 16:35:31.000000,66686089,
1254,"[32.9445, 73.7184]",2014-11-04 16:35:31.000000,66686089,
1255,"[32.9445, 73.7184]",2014-11-04 16:35:31.000000,66686089,
1256,"[32.944520000000004, 73.71837]",2014-11-04 16:35:31.000000,66686089,
1257,"[32.944520000000004, 73.71837]",2014-11-04 16:35:31.000000,66686089,
1258,"[32.9445, 73.7184]",2014-11-28 19:47:29.000000,66686089,
1259,"[32.944520000000004, 73.71837]",2014-11-28 19:47:29.000000,66686089,
1260,"[32.9445, 73.7184]",2014-11-28 19:47:29.000000,66686089,
1261,"[32.9445, 73.7184]",2014-11-28 19:47:29.000000,66686089,
1262,"[32.944520000000004, 73.71837]",2014-11-28 19:47:29.000000,66686089,
1263,"[32.944520000000004, 73.71837]",2014-11-28 19:47:29.000000,66686089,
1264,"[32.9445, 73.7184]",2014-11-21 19:15:08.000000,66686089,
1265,"[32.944520000000004, 73.71837]",2014-11-21 19:15:08.000000,66686089,
1266,"[32.9445, 73.7184]",2014-11-21 19:15:08.000000,66686089,
1267,"[32.9445, 73.7184]",2014-11-21 19:15:08.000000,66686089,
1268,"[32.944520000000004, 73.71837]",2014-11-21 19:15:08.000000,66686089,
1269,"[32.944520000000004, 73.71837]",2014-11-21 19:15:08.000000,66686089,
1270,"[32.9445, 73.7184]",2014-11-26 17:25:22.000000,66686089,
1271,"[32.944520000000004, 73.71837]",2014-11-26 17:25:22.000000,66686089,
1272,"[32.9445, 73.7184]",2014-11-26 17:25:22.000000,66686089,
1273,"[32.9445, 73.7184]",2014-11-26 17:25:22.000000,66686089,
1274,"[32.944520000000004, 73.71837]",2014-11-26 17:25:22.000000,66686089,
1275,"[32.944520000000004, 73.71837]",2014-11-26 17:25:22.000000,66686089,
1276,"[32.9445, 73.7184]",2014-11-10 19:43:52.000000,66686089,
1277,"[32.944520000000004, 73.71837]",2014-11-10 19:43:52.000000,66686089,
1278,"[32.9445, 73.7184]",2014-11-10 19:43:52.000000,66686089,
1279,"[32.9445, 73.7184]",2014-11-10 19:43:52.000000,66686089,
1280,"[32.944520000000004, 73.71837]",2014-11-10 19:43:52.000000,66686089,
1281,"[32.944520000000004, 73.71837]",2014-11-10 19:43:52.000000,66686089,
1282,"[32.9445, 73.7184]",2014-11-29 19:32:33.000000,66686089,
1283,"[32.944520000000004, 73.71837]",2014-11-29 19:32:33.000000,66686089,
1284,"[32.9445, 73.7184]",2014-11-29 19:32:33.000000,66686089,
1285,"[32.9445, 73.7184]",2014-11-29 19:32:33.000000,66686089,
1286,"[32.944520000000004, 73.71837]",2014-11-29 19:32:33.000000,66686089,
1287,"[32.944520000000004, 73.71837]",2014-11-29 19:32:33.000000,66686089,
1288,"[32.9445, 73.7184]",2014-11-19 18:53:35.000000,66686089,
1289,"[32.944520000000004, 73.71837]",2014-11-19 18:53:35.000000,66686089,
1290,"[32.9445, 73.7184]",2014-11-19 18:53:35.000000,66686089,
1291,"[32.9445, 73.7184]",2014-11-19 18:53:35.000000,66686089,
1292,"[32.944520000000004, 73.71837]",2014-11-19 18:53:35.000000,66686089,
1293,"[32.944520000000004, 73.71837]",2014-11-19 18:53:35.000000,66686089,
1294,"[32.9445, 73.7184]",2014-11-12 22:32:29.000000,66686089,
1295,"[32.944520000000004, 73.71837]",2014-11-12 22:32:29.000000,66686089,
1296,"[32.9445, 73.7184]",2014-11-12 22:32:29.000000,66686089,
1297,"[32.9445, 73.7184]",2014-11-12 22:32:29.000000,66686089,
1298,"[32.944520000000004, 73.71837]",2014-11-12 22:32:29.000000,66686089,
1299,"[32.944520000000004, 73.71837]",2014-11-12 22:32:29.000000,66686089,
1300,"[32.9445, 73.7184]",2014-11-15 20:14:09.000000,66686089,
1301,"[32.944520000000004, 73.71837]",2014-11-15 20:14:09.000000,66686089,
1302,"[32.9445, 73.7184]",2014-11-15 20:14:09.000000,66686089,
1303,"[32.9445, 73.7184]",2014-11-15 20:14:09.000000,66686089,
1304,"[32.944520000000004, 73.71837]",2014-11-15 20:14:09.000000,66686089,
1305,"[32.944520000000004, 73.71837]",2014-11-15 20:14:09.000000,66686089,
1306,"[32.9445, 73.7184]",2014-11-04 16:35:31.000000,66686089,
1307,"[32.944520000000004, 73.71837]",2014-11-04 16:35:31.000000,66686089,
1308,"[32.9445, 73.7184]",2014-11-04 16:35:31.000000,66686089,
1309,"[32.9445, 73.7184]",2014-11-04 16:35:31.000000,66686089,
1310,"[32.944520000000004, 73.71837]",2014-11-04 16:35:31.000000,66686089,
1311,"[32.944520000000004, 73.71837]",2014-11-04 16:35:31.000000,66686089,
1312,"[32.9445, 73.7184]",2014-11-16 22:29:09.000000,66686089,
1313,"[32.944520000000004, 73.71837]",2014-11-16 22:29:09.000000,66686089,
1314,"[32.9445, 73.7184]",2014-11-16 22:29:09.000000,66686089,
1315,"[32.9445, 73.7184]",2014-11-16 22:29:09.000000,66686089,
1316,"[32.944520000000004, 73.71837]",2014-11-16 22:29:09.000000,66686089,
1317,"[32.944520000000004, 73.71837]",2014-11-16 22:29:09.000000,66686089,
1318,"[32.9445, 73.7184]",2014-11-06 17:23:57.000000,66686089,
1319,"[32.944520000000004, 73.71837]",2014-11-06 17:23:57.000000,66686089,
1320,"[32.9445, 73.7184]",2014-11-06 17:23:57.000000,66686089,
1321,"[32.9445, 73.7184]",2014-11-06 17:23:57.000000,66686089,
1322,"[32.944520000000004, 73.71837]",2014-11-06 17:23:57.000000,66686089,
1323,"[32.944520000000004, 73.71837]",2014-11-06 17:23:57.000000,66686089,
1324,"[32.9445, 73.7184]",2014-11-21 19:15:08.000000,66686089,
1325,"[32.944520000000004, 73.71837]",2014-11-21 19:15:08.000000,66686089,
1326,"[32.9445, 73.7184]",2014-11-21 19:15:08.000000,66686089,
1327,"[32.9445, 73.7184]",2014-11-21 19:15:08.000000,66686089,
1328,"[32.944520000000004, 73.71837]",2014-11-21 19:15:08.000000,66686089,
1329,"[32.944520000000004, 73.71837]",2014-11-21 19:15:08.000000,66686089,
1330,"[32.9445, 73.7184]",2014-11-16 22:29:09.000000,66686089,
1331,"[32.944520000000004, 73.71837]",2014-11-16 22:29:09.000000,66686089,
1332,"[32.9445, 73.7184]",2014-11-16 22:29:09.000000,66686089,
1333,"[32.9445, 73.7184]",2014-11-16 22:29:09.000000,66686089,
1334,"[32.944520000000004, 73.71837]",2014-11-16 22:29:09.000000,66686089,
1335,"[32.944520000000004, 73.71837]",2014-11-16 22:29:09.000000,66686089,
1336,"[32.9445, 73.7184]",2014-11-28 19:47:29.000000,66686089,
1337,"[32.944520000000004, 73.71837]",2014-11-28 19:47:29.000000,66686089,
1338,"[32.9445, 73.7184]",2014-11-28 19:47:29.000000,66686089,
1339,"[32.9445, 73.7184]",2014-11-28 19:47:29.000000,66686089,
1340,"[32.944520000000004, 73.71837]",2014-11-28 19:47:29.000000,66686089,
1341,"[32.944520000000004, 73.71837]",2014-11-28 19:47:29.000000,66686089,
1342,"[32.9445, 73.7184]",2014-11-07 14:12:01.000000,66686089,
1343,"[32.944520000000004, 73.71837]",2014-11-07 14:12:01.000000,66686089,
1344,"[32.9445, 73.7184]",2014-11-07 14:12:01.000000,66686089,
1345,"[32.9445, 73.7184]",2014-11-07 14:12:01.000000,66686089,
1346,"[32.944520000000004, 73.71837]",2014-11-07 14:12:01.000000,66686089,
1347,"[32.944520000000004, 73.71837]",2014-11-07 14:12:01.000000,66686089,
1348,"[32.9445, 73.7184]",2014-11-13 22:25:50.000000,66686089,
